Displacement/μm - ,Load/N - 
98.08,35.328
98.48,35.6082
98.86,35.8883
99.3,36.1684
99.74,36.4835
100.16,36.7636
100.56,37.0437
100.92,37.2888
101.3,37.5689
101.66,37.9541
101.96,38.2342
102.26,38.5143
102.52,38.6544
102.74,38.8995
103.02,39.1446
103.26,39.5297
103.52,39.8448
103.84,40.0549
104.18,40.4751
104.52,40.7552
104.9,41.0703
105.26,41.3854
105.64,41.7006
106.06,42.0157
106.46,42.3308
106.84,42.6459
107.22,42.9611
107.58,43.2762
107.94,43.6263
108.28,43.9414
108.64,44.2566
109.04,44.5367
109.42,44.8518
109.82,45.1319
110.22,45.377
110.6,45.6571
111.02,45.9022
111.38,46.1823
111.76,46.4624
112.08,46.7776
112.38,47.0927
112.7,47.4078
113,47.6879
113.32,48.0031
113.66,48.3182
114.02,48.6683
114.42,49.0185
114.84,49.3336
115.26,49.6837
115.68,49.9988
116.1,50.349
116.52,50.6991
116.86,51.0493
117.22,51.3994
117.6,51.7495
117.92,52.0997
118.24,52.4148
118.6,52.7649
118.94,53.0801
119.32,53.4652
119.72,53.8153
120.12,54.2005
120.52,54.5506
120.94,54.9358
121.38,55.2859
121.76,55.7061
122.14,56.0912
122.5,56.4414
122.78,56.8265
123.08,57.1767
123.36,57.5618
123.66,57.947
123.94,58.2971
124.22,58.7173
124.54,59.1024
124.92,59.5226
125.26,60.0478
125.62,60.433
125.98,60.8531
126.4,61.2383
126.74,61.6234
127.06,62.0086
127.4,62.3937
127.68,62.7789
127.96,63.164
128.26,63.5142
128.54,63.8643
128.84,64.2495
129.16,64.6696
129.48,65.0548
129.88,65.51
130.26,65.9301
130.62,66.3503
131,66.7705
131.36,67.1906
131.72,67.6108
132.04,68.031
132.4,68.4511
132.68,68.9063
132.98,69.3615
133.26,69.8167
133.52,70.3069
133.84,70.797
134.18,71.2872
134.5,71.7774
134.84,72.2676
135.2,72.7578
135.58,73.248
135.92,73.7032
136.28,74.1584
136.64,74.5785
136.98,75.0337
137.3,75.4539
137.64,75.8741
137.96,76.3292
138.3,76.7494
138.62,77.1696
139,77.6247
139.34,78.0799
139.7,78.5351
140.04,78.9553
140.42,79.4104
140.8,80.0407
141.16,80.4959
141.54,80.811
141.9,81.4412
142.2,81.8964
142.54,82.3516
142.8,82.8418
143.08,83.297
143.38,83.7872
143.62,84.2774
143.84,84.7676
144.1,85.2227
144.34,85.7479
144.58,86.2732
144.88,86.7984
145.16,87.3236
145.52,87.8488
145.86,88.444
146.2,89.0392
146.58,89.5995
146.94,90.2297
147.34,90.825
147.72,91.4552
148.06,92.0504
148.4,92.6107
148.72,93.1359
149,93.6961
149.3,94.2563
149.66,94.8515
149.98,95.4468
150.38,96.077
150.76,96.7423
151.16,97.4075
151.52,98.2129
151.88,98.8431
152.22,99.4383
152.52,100.034
152.8,100.629
153.08,101.224
153.36,101.854
153.62,102.485
153.92,103.115
154.18,103.745
154.46,104.34
154.78,104.936
155.14,105.531
155.52,106.126
155.86,106.721
156.26,107.351
156.66,107.947
157.08,108.577
157.48,109.207
157.86,109.802
158.26,110.433
158.62,111.028
158.94,111.658
159.3,112.253
159.64,112.849
160,113.479
160.4,114.284
160.8,114.914
161.22,115.51
161.66,116.105
162.1,116.7
162.48,117.295
162.82,117.856
163.14,118.486
163.48,119.116
163.8,119.711
164.1,120.342
164.4,121.007
164.66,121.602
164.94,122.302
165.24,122.968
165.58,123.633
165.92,124.333
166.12,125.033
166.16,125.244
166.16,125.244
166.16,125.209
166.16,125.174
166.16,125.138
166.16,125.103
166.16,125.103
166.16,125.068
166.16,125.033
166.16,125.033
166.18,124.998
166.16,124.998
166.16,124.963
166.16,124.963
166.18,124.963
166.16,124.928
166.18,124.928
166.16,124.928
166.18,124.893
166.16,124.893
166.16,124.893
166.18,124.858
166.16,124.858
166.16,124.858
166.16,124.823
166.16,124.823
166.16,124.823
166.16,124.823
166.16,124.788
166.16,124.788
166.18,124.788
166.18,124.788
166.16,124.753
166.16,124.753
166.18,124.753
166.16,124.753
166.18,124.753
166.18,124.753
166.16,124.718
166.18,124.718
166.18,124.718
166.16,124.718
166.18,124.718
166.16,124.683
166.16,124.683
166.16,124.683
166.2,124.683
166.18,124.683
166.16,124.683
166.16,124.683
166.18,124.683
166.16,124.648
166.18,124.648
166.18,124.648
166.16,124.648
166.18,124.648
166.18,124.648
166.16,124.648
166.18,124.613
166.18,124.613
166.16,124.613
166.18,124.613
166.16,124.613
166.18,124.613
166.16,124.613
166.16,124.613
166.16,124.578
166.16,124.578
166.18,124.578
166.18,124.578
166.16,124.578
166.18,124.578
166.18,124.578
166.2,124.578
166.18,124.578
166.18,124.543
166.18,124.543
166.18,124.543
166.18,124.543
166.16,124.543
166.18,124.543
166.18,124.543
166.16,124.508
166.18,124.543
166.18,124.508
166.18,124.508
166.18,124.508
166.18,124.508
166.18,124.508
166.18,124.508
166.18,124.508
166.16,124.508
166.18,124.508
166.18,124.508
166.18,124.508
166.18,124.508
166.18,124.508
166.18,124.508
166.18,124.508
166.2,124.473
166.18,124.473
166.18,124.473
166.18,124.473
166.2,124.473
166.18,124.473
166.18,124.473
166.16,124.473
166.18,124.473
166.16,124.473
166.2,124.473
166.16,124.473
166.18,124.473
166.18,124.473
166.18,124.473
166.18,124.438
166.18,124.438
166.18,124.473
166.18,124.438
166.16,124.438
166.18,124.438
